failure_predicate,partition,simulator_id,q1_pass,q2_pass,q3_pass,q4_pass,q5_pass,q6_pass,q7_pass,q8_pass,q9_pass,q10_pass,q2_estimand,q4_status,q9_status,qualification_decision_enabled,qualification_status,scope_limits_json,max_standardized_object_influence,max_off_target_to_target_ratio,loo_estimable_count,loo_structural_unavailable_count,loo_simulation_failed_count,covariance_estimable_count,failed_gates_json
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""control_response_curve_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""high_leave_one_object_out_influence"",""specificity_ratio_unscorable_for_small_target_response""]",3.891314206002181,0.40632142000631327,4,0,0,1,"[""Q2"",""Q3"",""Q5"",""Q8""]"
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,True,False,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""specificity_ratio_unscorable_for_small_target_response"",""substantial_coupled_off_target_metric_response""]",2.116883895516029,4.353541139104538,4,0,0,1,"[""Q2"",""Q8""]"
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,True,False,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""control_response_curve_unscorable"",""high_leave_one_object_out_influence"",""specificity_ratio_unscorable_for_small_target_response"",""wild residual symmetry is a declared model assumption with four clusters""]",6.262626262626263,1.96521401597276,4,0,0,1,"[""Q2"",""Q8""]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""specificity_ratio_unscorable_for_small_target_response"",""structural_leave_one_object_out_unavailability"",""substantial_coupled_off_target_metric_response""]",5.551115123125783e-16,4.649664349218421,3,1,0,1,"[""Q2"",""Q3"",""Q5"",""Q8""]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""structural_leave_one_object_out_unavailability"",""substantial_coupled_off_target_metric_response""]",0.6480910777985656,3.5606793837673543,3,1,0,1,"[""Q8""]"
local_criterion_breach,discovery,joint_wild_cluster_rademacher,True,False,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""specificity_ratio_unscorable_for_small_target_response"",""structural_leave_one_object_out_unavailability"",""wild residual symmetry is a declared model assumption with four clusters""]",0.12400396819047424,1.3104743160571897,3,1,0,1,"[""Q2"",""Q8""]"
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""high_leave_one_object_out_influence""]",4.3835459761180005,0.9913553896831706,4,0,0,1,"[""Q2"",""Q3"",""Q5"",""Q8""]"
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""high_leave_one_object_out_influence""]",6.46832948836936,1.907969853090387,4,0,0,1,"[""Q8""]"
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""high_leave_one_object_out_influence"",""wild residual symmetry is a declared model assumption with four clusters""]",8.236870329687552,2.611595629805451,4,0,0,1,"[""Q8""]"
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""structural_leave_one_object_out_unavailability""]",0.43892225223996056,1.5382057401041909,3,1,0,2,"[""Q2"",""Q3"",""Q5"",""Q8""]"
