relation_id,task,carrier,carrier_role,carrier_role_detail,rig_status,rig_status_rank,threshold,baseline,obs080c_carrier_ba,obs080d_carrier_mean_ba,obs080d_carrier_min_ci95_low,obs080d_carrier_min_p_above_threshold,task_geometry_needed_level,task_geometry_needed_label,task_geometry_needed_rationale,failure_notes,repair_recommendation,repair_rationale,n_survival_rows,mean_survival_score,min_survival_score,numeric_transform_n,numeric_transform_mean_score,numeric_transform_min_score,numeric_transform_status,scale_band_n,scale_band_mean_score,scale_band_min_score,scale_band_status,feature_family_n,feature_family_mean_score,feature_family_min_score,feature_family_status,structural_resampling_n,structural_resampling_mean_score,structural_resampling_min_score,structural_resampling_status,level_1_stability_core_ba,level_3_geometry_ba,level_4_paths_ba,level_3_stability_plus_geometry_ba,level_5_no_window_ba,level_5_strict_numeric_ba,obs080d_core_mean_ba,obs080d_core_min_ci95_low,obs080d_core_min_p_above_threshold
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,compact_core_carrier,primary compact carrier,stable_reusable_invariant,6,0.9,0.5,0.9875541125541124,0.9825948228464675,0.9428571428571428,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,preserve compact core; no repair needed,compact core is sufficient and structurally stable,23,0.9839076650602678,0.9583333333333334,7,0.9841527520098946,0.9756493506493504,pass,9,0.984187109187109,0.9583333333333334,pass,1,0.9875541125541124,0.9875541125541124,pass,6,0.9825948228464675,0.981528035576702,pass,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,redundant_reusable_invariant,5,0.9,0.5,1.0,0.9834779716091623,0.9328499179392036,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.985838261379282,0.9717290208640628,0,,,missing,0,,,missing,1,1.0,1.0,pass,6,0.9834779716091623,0.9717290208640628,pass,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp2__no_window,C_vs_Cp2,no_window,non_window_redundant_carrier,non-window redundant carrier,redundant_reusable_invariant,5,0.9,0.5,0.9610544217687076,0.9999708600849609,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9944113688969248,0.9610544217687076,0,,,missing,0,,,missing,1,0.9610544217687076,0.9610544217687076,pass,6,0.9999708600849609,0.9998599457487252,pass,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,redundant_reusable_invariant,5,0.9,0.5,1.0,0.9933019082585061,0.9587372448979592,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9942587785072909,0.9891683051707928,0,,,missing,0,,,missing,1,1.0,1.0,pass,6,0.9933019082585061,0.9891683051707928,pass,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,redundant_reusable_invariant,5,0.9,0.5,0.979591836734694,0.9999708600849609,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9970595710349228,0.979591836734694,0,,,missing,0,,,missing,1,0.979591836734694,0.979591836734694,pass,6,0.9999708600849609,0.9998599457487252,pass,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,weak path/cohort carrier,weak_redundant_carrier,4,0.9,0.5,0.9041666666666668,0.8989012329740419,0.8104396802325581,0.41,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,7,0.899653437787274,0.8922018878903845,0,,,missing,0,,,missing,1,0.9041666666666668,0.9041666666666668,pass,6,0.8989012329740419,0.8922018878903845,mixed,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694,0.9825948228464675,0.9428571428571428,1.0
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,compact_core_carrier,primary compact carrier,stable_reusable_invariant,6,0.9,0.5,0.9897959183673468,0.9843549474859227,0.945945945945946,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,preserve compact core; no repair needed,compact core is sufficient and structurally stable,23,0.9874647733801976,0.9705882352941176,7,0.9871639131843212,0.986111111111111,pass,9,0.9895129769079348,0.9705882352941176,pass,1,0.9897959183673468,0.9897959183673468,pass,6,0.9843549474859227,0.9832407598212676,pass,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
C_vs_Cp3__no_window,C_vs_Cp3,no_window,non_window_redundant_carrier,non-window redundant carrier,redundant_reusable_invariant,5,0.9,0.5,0.9405050155655484,1.0,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9915007165093641,0.9405050155655484,0,,,missing,0,,,missing,1,0.9405050155655484,0.9405050155655484,pass,6,1.0,1.0,pass,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,redundant_reusable_invariant,5,0.9,0.5,0.9897959183673468,0.9861301809832822,0.9446652334152336,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9866538577524343,0.9853443028394564,0,,,missing,0,,,missing,1,0.9897959183673468,0.9897959183673468,pass,6,0.9861301809832822,0.9853443028394564,pass,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,redundant_reusable_invariant,5,0.9,0.5,0.9930555555555556,1.0,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9990079365079365,0.9930555555555556,0,,,missing,0,,,missing,1,0.9930555555555556,0.9930555555555556,pass,6,1.0,1.0,pass,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
