record_id,obs082_blockers,obs083_primary_blocker,obs083_secondary_blocker,blocker_removed_flag,new_blocker_flag,remaining_missing_evidence,recommended_next_evidence_type,guardrail_note
C_vs_Cp2__stability_core_3,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,failure_localization,repair_specificity,False,False,sharper_failure_localization,localization,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__geometry_scores_only,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__no_window,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__stability_plus_geometry,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__strict_numeric_all,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__path_shares_only,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,failure_localization,repair_specificity,False,False,sharper_failure_localization,localization,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__stability_core_3,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,failure_localization,repair_specificity,False,False,sharper_failure_localization,localization,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__no_window,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__stability_plus_geometry,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__strict_numeric_all,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,negative_control_contrast,localization_or_repair_secondary,False,False,stronger_matched_negative_controls;sharper_failure_localization,matched_controls,OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
