artifact_label,artifact_path,artifact_sha256,rows_read,present_provenance_roles,resolved_columns,missing_provenance_roles,mean_present_field_completeness,provenance_status,artifact_hash_available,versioning_readiness,scope_guardrail
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,fe032ff0b43aa8839c41d084a0b16b0c04ce6896020c172a4579a272c1d48d7e,30000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,3cc7e2566de631687c6e4890b835a495cfcb9b539f2366466d86a2b1351fc32f,30000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,e12e456e5ed6dc5604fd208dc8ffa62ff5210404da3a3e422483e028d39e1400,30000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,517d7f538b9561329413a8e836cc5f4853ea674e7f7dafca14a4a0cef39434b0,15000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,67fd828bf8cf92fad593c2e6797202668a9b436c130d34d2be7bf0f56038899a,15000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,60a16bc03706f55bb0002bb7f5ca30e24f32fc5aedf39542be7343868ea30b61,45000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,6a018014407b5a97c77f2827711994e519ac45de502c53a460ef69388d71ff74,145000,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,1.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,22ac50d4be70de86371e118447dfe6b58eb96a150d406ba05f4fd4eb2ef7e819,0,corpus_origin,corpus_origin:corpus,source_pointer|run_or_campaign|model|contract|record|observation,0.0,partial_schema_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,52d92eff5b16f65c6bcad3b7a08b00e72058fd5c6f3babb8f3821fb077b743b9,1200,observation,observation:id,source_pointer|run_or_campaign|model|corpus_origin|contract|record,1.0,artifact_hash_only_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,52d92eff5b16f65c6bcad3b7a08b00e72058fd5c6f3babb8f3821fb077b743b9,1200,observation,observation:id,source_pointer|run_or_campaign|model|corpus_origin|contract|record,1.0,artifact_hash_only_provenance,True,candidate_source_manifest_ready,schema-level provenance only; scientific lineage equivalence remains to be audited
