field_name,field_role,predictor_allowed,grouping_allowed,matching_allowed,canonical_contract_override,resolution_basis,review_note,resolution_status
case,unused_non_numeric,False,False,False,False,non-numeric and not required for grouping/provenance,,proposed_auto
candidate_rank,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
object,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
scale_index_from,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
scale_index_to,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
cohort,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
dominant_family,unused_non_numeric,False,False,False,False,non-numeric and not required for grouping/provenance,,proposed_auto
n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
n_windows,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
mean_lambda_local_mean,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
mean_lambda_local_z,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
mean_delta_d_mean,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
mean_delta_d_z,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
bounded_share_mean,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
bounded_share_z,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
divergence_z_sum,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
transition_delta,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
dominant_reason,unused_non_numeric,False,False,False,False,non-numeric and not required for grouping/provenance,,proposed_auto
pinch_score_total,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
support_score,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
overlap_score,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
shape_score,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
id_score,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
jaccard_loss,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,"geometry observable named ""loss""; not an evaluation outcome",canonical_contract_override
centroid_drift,candidate_predictor,True,False,True,True,canonical OBS-078/080 carrier contract overrides generic name-based leakage heuristics,explicitly admitted by a frozen canonical carrier definition,canonical_contract_override
support_size_delta,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
overlap_delta_max,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
seam__core__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__core__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__core__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__core__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__core__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__core__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
seam__near__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__off_seam_reorganizing__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__reorganization_heavy__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__settled_distant__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
path_family__stable_seam_corridor__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__path_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__path_log2_enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__global_path_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__nonrecovering__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
outcome__recovering__denom_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__nan__nan__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__outcome_group__nonrecovering__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__outcome_group__recovering__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__off_seam_reorganizing__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__reorganization_heavy__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__settled_distant__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__stable_seam_corridor__n_paths,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__seam_class__seam_contact__n_paths,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_distant__n_paths,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_grazing__n_paths,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__outcome_group__nonrecovering__global_share,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
proj__outcome_group__recovering__global_share,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
proj__path_family__off_seam_reorganizing__global_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__reorganization_heavy__global_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__settled_distant__global_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__stable_seam_corridor__global_share,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__seam_class__seam_contact__global_share,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_distant__global_share,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_grazing__global_share,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__outcome_group__nonrecovering__enrichment,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
proj__outcome_group__recovering__enrichment,candidate_predictor,True,False,True,False,numeric/feature candidate subject to carrier manifest,,proposed_auto
proj__path_family__off_seam_reorganizing__enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__reorganization_heavy__enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__settled_distant__enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__path_family__stable_seam_corridor__enrichment,grouping_partition,False,True,True,False,matched grouping/partition pattern,,proposed_auto
proj__seam_class__seam_contact__enrichment,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_distant__enrichment,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
proj__seam_class__seam_grazing__enrichment,forbidden_predictive_leakage,False,False,False,False,matched forbidden/leakage pattern,,proposed_auto
