record_id,relation,carrier,obs082_failure_localization,obs082_diffuse_prior_flag,relation_local_score,carrier_local_score,contract_local_score,transform_local_score,scale_band_local_score,feature_family_local_score,structural_resampling_local_score,geometry_needed_local_score,cohort_local_score,transition_local_score,diffuse_score,primary_failure_locus,secondary_failure_locus,localization_confidence,failure_localization_score,localization_limiter,localization_evidence_basis,explicit_failure_locus_source,interpretation
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.4003190745312466; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.10707085412038353,,0.35,0.65,relation_local,transition_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.1156541987358634; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.10707085412038353,,0.35,0.65,carrier_local,relation_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp2__no_window,C_vs_Cp2,no_window,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0002039794052741; untyped_failure_row_evidence_fallback,True,0.0007229106060446799,0.35,,,,,,0.10707085412038353,,0.0007229106060446799,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0468866421904579; untyped_failure_row_evidence_fallback,True,0.16346372056677994,0.35,,,,,,0.10707085412038353,,0.16346372056677994,0.65,carrier_local,relation_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0002039794052741; untyped_failure_row_evidence_fallback,True,0.0009093546460758883,0.35,,,,,,0.10707085412038353,,0.0009093546460758883,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.707691369181707; object_support_sensitivity; distinct_failure_type_concentration_more_than_3_types,True,0.35,0.35,,,,,,0.10707085412038353,,0.35,0.65,carrier_local,relation_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.3598362078237755; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.017752334973594186,,0.35,0.65,relation_local,transition_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__no_window,C_vs_Cp3,no_window,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0; untyped_failure_row_evidence_fallback,True,0.001014309756436349,0.35,,,,,,0.017752334973594186,,0.001014309756436349,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0970887331170242; untyped_failure_row_evidence_fallback,True,0.09689483543629418,0.35,,,,,,0.017752334973594186,,0.09689483543629418,0.65,carrier_local,relation_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0; untyped_failure_row_evidence_fallback,True,0.0012007537964675574,0.35,,,,,,0.017752334973594186,,0.0012007537964675574,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.3807976843586527; object_support_sensitivity; distinct_failure_type_concentration_more_than_3_types,True,0.35,0.35,,,,,,0.017752334973594186,,0.35,0.65,carrier_local,relation_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,C-separating contrast is stable under compact core; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.5937080721464545; object_support_sensitivity; distinct_failure_type_concentration_more_than_3_types,True,0.35,0.35,,,,,,0.017752334973594186,,0.35,0.65,relation_local,transition_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
