relation_id,task,carrier,carrier_role,rig_status,repair_recommendation,repair_rationale,failure_notes
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,context_sensitive_reusable_invariant,preserve compact core; prefer enriched geometry for high precision; annotate structural sensitivity,three-way compact core survives but enriched geometry improves precision,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_sharpening_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,weak_redundant_carrier,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
three_way__stability_plus_geometry,three_way,stability_plus_geometry,enriched_geometry_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
three_way__no_window,three_way,no_window,non_window_redundant_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_reference_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,three-way compact core is reusable but structurally more sensitive than C-separating contrasts
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,compact_core_carrier,stable_reusable_invariant,preserve compact core; no repair needed,compact core is sufficient and structurally stable,C-separating contrast is stable under compact core
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_sharpening_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,weak_redundant_carrier,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,C-separating contrast is stable under compact core
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,enriched_geometry_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp2__no_window,C_vs_Cp2,no_window,non_window_redundant_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_reference_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,compact_core_carrier,stable_reusable_invariant,preserve compact core; no repair needed,compact core is sufficient and structurally stable,C-separating contrast is stable under compact core
