record_id,relation,carrier,target_rig_status,target_obs082_class,control_family,control_id,control_relation,control_carrier,control_contract,control_expected_behavior,match_rationale,contrast_hypothesis,available_artifact_source,evidence_available,control_strength_grade,control_limitations
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,relation,C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,,"same carrier, different relation should not reproduce target-specific contrast",Tests whether carrier preserves target relation specifically,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,relation,Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,,"same carrier, different relation should not reproduce target-specific contrast",Tests whether carrier preserves target relation specifically,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,relation,three_way__stability_core_3,three_way,stability_core_3,,"same carrier, different relation should not reproduce target-specific contrast",Tests whether carrier preserves target relation specifically,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,carrier,C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,,"same relation, different carrier should show differentiated carrier role",Tests whether carrier role is specific or overbroad,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,carrier,C_vs_Cp2__no_window,C_vs_Cp2,no_window,,"same relation, different carrier should show differentiated carrier role",Tests whether carrier role is specific or overbroad,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,carrier,C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,,"same relation, different carrier should show differentiated carrier role",Tests whether carrier role is specific or overbroad,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,carrier,C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,,"same relation, different carrier should show differentiated carrier role",Tests whether carrier role is specific or overbroad,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,carrier,C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,,"same relation, different carrier should show differentiated carrier role",Tests whether carrier role is specific or overbroad,target should show stronger or structurally different evidence than matched control,OBS-081/082 relation x carrier records,True,A,matched registry record available
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,contract,C_vs_Cp2__stability_core_3__contract__numeric_transform,C_vs_Cp2,stability_core_3,numeric_transform,contract family numeric_transform should reveal structured survival or weakness when evidence exists,Tests whether survival/failure localizes to contract family,target should show stronger or structurally different evidence than matched control,missing_optional_evidence,False,D,optional evidence missing; not scored as positive evidence
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stable_reusable_invariant,C: diagnostic-only,contract,C_vs_Cp2__stability_core_3__contract__scale_band,C_vs_Cp2,stability_core_3,scale_band,contract family scale_band should reveal structured survival or weakness when evidence exists,Tests whether survival/failure localizes to contract family,target should show stronger or structurally different evidence than matched control,OBS-080/081 survival/contract evidence when present,True,B,derived or partial artifact evidence available
