gate_order,gate_id,partition_scope,frozen_gate_definition,failure_status,threshold_modification_allowed,test_substitution_allowed,one_sided_conversion_allowed,partition_pooling_allowed,post_hoc_cluster_redefinition_allowed,semantic_source_anchors_json
1,discovery_partition_only,discovery,all discovery fitting and search rows carry partition_role=discovery,invalidate,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
2,candidate_family_sealed_before_confirmation,discovery,"candidate identity, predicate, support, complement, controls, metrics, thresholds, and multiplicity family are frozen",do_not_open_confirmation,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
3,protocol_match,confirmation,confirmation implementation exactly matches the sealed discovery protocol,confirmation_protocol_mismatch,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
4,record_testable,confirmation,profile record has complete confirmation observation losses,confirmation_not_testable,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
5,support_columns_available,confirmation,sealed support columns exist unchanged,confirmation_support_unavailable,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
6,complement_admissible,confirmation,sealed complement is present and satisfies frozen minimum support,confirmation_complement_inadmissible,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
7,direction_match,confirmation,confirmation contrast follows the sealed expected direction,confirmation_direction_reversed,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
8,predicate_semantics_pass,confirmation,frozen failure predicate semantics are satisfied,confirmation_signal_absent,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
9,minimum_effect_pass,confirmation,frozen minimum-effect threshold is satisfied,confirmation_signal_absent,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
10,cluster_sensitivity_pass,confirmation,frozen cluster-aware uncertainty gate passes,confirmation_uncertain_cluster_support,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
11,control_robustness_pass,confirmation,frozen negative-control adjustment gate passes,confirmation_control_explained,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
12,confirmation_multiplicity_pass,confirmation,frozen multiplicity correction over the exact sealed candidate family passes,confirmation_multiplicity_not_survived,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
13,confirmation_eligible,confirmation,all frozen conjunction gates pass and profile entitlement permits FL3,confirmation_reproduced_but_claim_capped_at_fl2,False,False,False,False,False,"[""experiments/studies/obs084b_direct_failure_support_discovery.py"",""experiments/studies/obs084c_direct_failure_support_confirmation.py"",""docs/05_project/084_rig_direct_failure_support_witness_protocol.md""]"
