exclusion_reason_code,reason_category,code_status,replacement_eligible,outcome_dependent,usage_rule
EX-001_missing_or_invalid_object_identity,identity,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-002_incomplete_scientific_observation_key,identity,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-003_duplicate_scientific_observation_identity,identity,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-004_unresolvable_effective_cluster_identity,independence,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-005_missing_required_carrier,carrier,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-006_failed_prespecified_measurement,measurement,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-007_missing_required_control,control,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-008_invalid_provenance,provenance,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-009_schema_invalid,schema,allowed_prespecified_structural_exclusion,True,False,record before any outcome-bearing evaluation
EX-010_partition_assignment_invalid,assignment,allowed_prespecified_structural_exclusion,False,False,record before any outcome-bearing evaluation
EX-011_cross_partition_cluster_or_object_overlap,independence,allowed_prespecified_structural_exclusion,False,False,record before any outcome-bearing evaluation
EX-012_outcome_access_before_admissibility_freeze,protocol_deviation,allowed_prespecified_structural_exclusion,False,False,record before any outcome-bearing evaluation
FORBID-001_unfavorable_effect_direction,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-002_small_effect_magnitude,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-003_failed_gate,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-004_large_p_value_or_q_value,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-005_weak_candidate_contribution,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-006_undesirable_simulator_correspondence,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-007_discovery_rank_not_preferred,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
FORBID-008_confirmation_result_unfavorable,outcome_dependent,prohibited_exclusion_basis,False,True,never valid as an exclusion or replacement trigger
