protocol_profile_id,partition,planned_analysis_objects,minimum_effective_clusters,outcome_dependency_allowed,decision_order,decision,condition,action
PR-0acc5b724625a5033327986b,confirmation,12,4,False,1,invalidate_protocol_execution,"lineage, seed commitment, roster manifest, assignment, provenance, or partition independence fails",stop; record protocol deviation; do not evaluate outcomes
PR-0acc5b724625a5033327986b,confirmation,12,4,False,2,continue_acquisition_or_structural_replacement,analysis-object quota or minimum effective-cluster requirement is unmet and a valid same-partition reserve remains,take next reserve object by frozen rank and rerun structural validation
PR-0acc5b724625a5033327986b,confirmation,12,4,False,3,freeze_roster_and_evaluate,"exact nominal analysis quota is filled; at least four effective clusters are present; all admissibility, completeness, control, provenance, and partition checks pass",hash final roster; forbid migration; proceed to frozen evaluation sequence
PR-0acc5b724625a5033327986b,confirmation,12,4,False,4,terminate_for_structural_futility,required nominal or effective support remains unattainable after valid same-partition reserves are exhausted,terminate without outcome inspection or gate reinterpretation
PR-0acc5b724625a5033327986b,discovery,12,4,False,1,invalidate_protocol_execution,"lineage, seed commitment, roster manifest, assignment, provenance, or partition independence fails",stop; record protocol deviation; do not evaluate outcomes
PR-0acc5b724625a5033327986b,discovery,12,4,False,2,continue_acquisition_or_structural_replacement,analysis-object quota or minimum effective-cluster requirement is unmet and a valid same-partition reserve remains,take next reserve object by frozen rank and rerun structural validation
PR-0acc5b724625a5033327986b,discovery,12,4,False,3,freeze_roster_and_evaluate,"exact nominal analysis quota is filled; at least four effective clusters are present; all admissibility, completeness, control, provenance, and partition checks pass",hash final roster; forbid migration; proceed to frozen evaluation sequence
PR-0acc5b724625a5033327986b,discovery,12,4,False,4,terminate_for_structural_futility,required nominal or effective support remains unattainable after valid same-partition reserves are exhausted,terminate without outcome inspection or gate reinterpretation
PR-8d5c884228be9454cd794d62,confirmation,10,4,False,1,invalidate_protocol_execution,"lineage, seed commitment, roster manifest, assignment, provenance, or partition independence fails",stop; record protocol deviation; do not evaluate outcomes
PR-8d5c884228be9454cd794d62,confirmation,10,4,False,2,continue_acquisition_or_structural_replacement,analysis-object quota or minimum effective-cluster requirement is unmet and a valid same-partition reserve remains,take next reserve object by frozen rank and rerun structural validation
PR-8d5c884228be9454cd794d62,confirmation,10,4,False,3,freeze_roster_and_evaluate,"exact nominal analysis quota is filled; at least four effective clusters are present; all admissibility, completeness, control, provenance, and partition checks pass",hash final roster; forbid migration; proceed to frozen evaluation sequence
PR-8d5c884228be9454cd794d62,confirmation,10,4,False,4,terminate_for_structural_futility,required nominal or effective support remains unattainable after valid same-partition reserves are exhausted,terminate without outcome inspection or gate reinterpretation
PR-8d5c884228be9454cd794d62,discovery,8,4,False,1,invalidate_protocol_execution,"lineage, seed commitment, roster manifest, assignment, provenance, or partition independence fails",stop; record protocol deviation; do not evaluate outcomes
PR-8d5c884228be9454cd794d62,discovery,8,4,False,2,continue_acquisition_or_structural_replacement,analysis-object quota or minimum effective-cluster requirement is unmet and a valid same-partition reserve remains,take next reserve object by frozen rank and rerun structural validation
PR-8d5c884228be9454cd794d62,discovery,8,4,False,3,freeze_roster_and_evaluate,"exact nominal analysis quota is filled; at least four effective clusters are present; all admissibility, completeness, control, provenance, and partition checks pass",hash final roster; forbid migration; proceed to frozen evaluation sequence
PR-8d5c884228be9454cd794d62,discovery,8,4,False,4,terminate_for_structural_futility,required nominal or effective support remains unattainable after valid same-partition reserves are exhausted,terminate without outcome inspection or gate reinterpretation
PR-ae1bc88174da78efeb9bc1b5,confirmation,12,4,False,1,invalidate_protocol_execution,"lineage, seed commitment, roster manifest, assignment, provenance, or partition independence fails",stop; record protocol deviation; do not evaluate outcomes
