monitoring_rule_id,metric_or_signal,monitoring_status,decision_use,outcome_bearing,minimum_check_frequency
MON-P-001,eligible_object_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-002,assigned_analysis_object_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-003,available_same_partition_reserve_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-004,effective_cluster_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-005,cluster_duplication_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-006,carrier_completeness_rate,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-007,measurement_missingness_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-008,control_availability_count,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-009,partition_allocation_integrity,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-P-010,provenance_validation_status,permitted_blinded_structural_monitoring,continue_freeze_or_structural_futility_only,False,at roster freeze and after each replacement
MON-F-001,effect_estimate,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-002,effect_direction,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-003,gate_result,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-004,p_value_or_q_value,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-005,candidate_passage,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-006,candidate_ranking,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-007,discovery_model_score,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-008,confirmation_outcome,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
MON-F-009,delta_or_control_response_lambda_selection,prohibited_before_frozen_evaluation_stage,none,True,not_applicable
