candidate_id,record_id,failure_predicate,confirmation_permutation_p,confirmation_q_sealed_family,confirmation_multiplicity_pass,confirmation_status,multiplicity_family,candidate_denominator,correction_rule,confirmation_fdr
OBS084B-0f82f9c3b220ffa08e45,C_vs_Cp2__geometry_scores_only,relation_separation_attenuation,1.0,1.0,False,confirmation_complement_inadmissible,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-34d66eb07912a939e6bf,C_vs_Cp2__geometry_scores_only,local_criterion_breach,1.0,1.0,False,confirmation_complement_inadmissible,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-2f8f8e8bd729832e4f1c,C_vs_Cp2__geometry_scores_only,relation_separation_attenuation,0.8321678321678322,1.0,False,confirmation_signal_absent,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-7ec663ae1af7424b1b72,C_vs_Cp2__no_window,relation_separation_attenuation,0.1008991008991009,0.4372294372294372,False,confirmation_multiplicity_not_survived,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-f4375eb30e72ed220004,C_vs_Cp2__no_window,local_criterion_breach,0.46153846153846156,1.0,False,confirmation_signal_absent,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-51b6faee33ac6cc790bd,C_vs_Cp2__no_window,log_loss_attenuation,0.016983016983016984,0.1103896103896104,False,confirmation_multiplicity_not_survived,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-c811fbc12bffe9acee2f,C_vs_Cp2__stability_plus_geometry,relation_separation_attenuation,0.5824175824175825,1.0,False,confirmation_signal_absent,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-590dc8c788380700d526,C_vs_Cp2__strict_numeric_all,relation_separation_attenuation,0.2777222777222777,0.9025974025974025,False,confirmation_uncertain_cluster_support,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-a69d98b6b8217d4059ce,C_vs_Cp3__no_window,relation_separation_attenuation,0.004995004995004995,0.06493506493506493,True,confirmation_reproduced_but_claim_capped_at_fl2,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-5c75c4f7df387f78f22c,C_vs_Cp3__strict_numeric_all,relation_separation_attenuation,0.4995004995004995,1.0,False,confirmation_control_explained,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-11e1ddfaec94b8ba1e20,C_vs_Cp3__geometry_scores_only,relation_separation_attenuation,1.0,1.0,False,confirmation_complement_inadmissible,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-57dd73e04bc58c21dc10,C_vs_Cp3__geometry_scores_only,log_loss_attenuation,1.0,1.0,False,confirmation_complement_inadmissible,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
OBS084B-340c36cc5ee088d4fab9,three_way__geometry_scores_only,log_loss_attenuation,1.0,1.0,False,confirmation_complement_inadmissible,sealed_obs084b_candidate_family,13,Benjamini-Hochberg over exactly all sealed OBS-084b candidates; untestable candidates retained with p=1,0.1
