qualification_address_id,qualification_selection_rank,address_id,record_id,relation,carrier,support_id,support_definition,support_query_json,failure_predicate,entitlement_status,support_family_label,support_prevalence,selection_reason,sealed_obs084b_candidate
QA-c30e3d3f82da620de5ac3360,1,5664a919a73350d749e027dc,C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,114bd7932e0008f8ef79,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",relation_separation_attenuation,fl3_entitlement_capped,scale_band|seam_relative,0.25,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",True
QA-02c672aad69ddc263145d9d9,2,f4f4a9de74337511940dbe01,Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,6b0045c0b5d5cdcc487d,cohort:cohort=before,"[{""column"": ""cohort"", ""operator"": ""eq"", ""support_family"": ""cohort"", ""value"": ""before""}]",relation_separation_attenuation,fl3_entitled,cohort,0.16666666666666666,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-5d6d35b3a65f2b39db4e8c92,3,aa0c3dea0cb178601665f0a3,C_vs_Cp3__no_window,C_vs_Cp3,no_window,890e6d08d9d2cd59f857,seam_relative:seam_relative_region=near,"[{""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",relation_separation_attenuation,fl3_entitlement_capped,seam_relative,0.2962962962962963,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-a19d3a2397027cbf1438e9fa,4,71a9a769187d88ddfc17abe2,Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,3e971f0bc08c8189f389,route_or_path:dominant_family=mixed,"[{""column"": ""dominant_family"", ""operator"": ""eq"", ""support_family"": ""route_or_path"", ""value"": ""mixed""}]",relation_separation_attenuation,fl3_entitled,route_or_path,0.2727272727272727,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-3659af5a830fb2f627ce5149,5,c6528334f0026fa6a5d60d51,three_way__strict_numeric_all,three_way,strict_numeric_all,6b0045c0b5d5cdcc487d,cohort:cohort=before,"[{""column"": ""cohort"", ""operator"": ""eq"", ""support_family"": ""cohort"", ""value"": ""before""}]",relation_separation_attenuation,fl3_entitlement_capped,cohort,0.17777777777777778,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-4b3d0fc30dd4d1dd74d6b66f,6,571870560547b22e35e1ccb9,Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,69824d64880b538a0d6a,scale_band:scale_band=early AND route_or_path:dominant_family=mixed,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""dominant_family"", ""operator"": ""eq"", ""support_family"": ""route_or_path"", ""value"": ""mixed""}]",relation_separation_attenuation,fl3_entitled,scale_band|route_or_path,0.2727272727272727,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-470c79933572e6bd32d6f3ec,1,abf87c205565392f1e00275c,C_vs_Cp2__no_window,C_vs_Cp2,no_window,114bd7932e0008f8ef79,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",log_loss_attenuation,fl3_entitlement_capped,scale_band|seam_relative,0.25,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",True
QA-3c5dda574ee1d851cb4f24fd,2,7e1bf2a0d61851cecd7b6046,Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,21022befbb0e1aab2a07,seam_relative:seam_relative_region=intermediate,"[{""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""intermediate""}]",log_loss_attenuation,fl3_entitled,seam_relative,0.36363636363636365,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-f8613d54d94158a22c06857d,3,61cef129ca8cc734e59e4f58,three_way__strict_numeric_all,three_way,strict_numeric_all,6b0045c0b5d5cdcc487d,cohort:cohort=before,"[{""column"": ""cohort"", ""operator"": ""eq"", ""support_family"": ""cohort"", ""value"": ""before""}]",log_loss_attenuation,fl3_entitlement_capped,cohort,0.17777777777777778,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-b167cc18441c39b3be006138,4,c7bb703a3930eb4a7b9b0754,C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,8eb760d133ac749e3327,scale_band:scale_band=early,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}]",log_loss_attenuation,fl3_entitlement_capped,scale_band,0.4444444444444444,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
