paired_design_id,address_id,record_id,support_id,relation,carrier,entitlement_status,delta,control_response_lambda,reliability_target,scenario_axis_semantics,probability_semantics,discovery_partition_design_id,confirmation_partition_design_id,discovery_minimum_nominal_k,confirmation_minimum_nominal_k,minimum_total_nominal_objects,maximum_partition_nominal_k,partition_allocation_imbalance,discovery_robust_probability_at_selected_k,confirmation_robust_probability_at_selected_k,paired_robust_probability_at_selected_allocations,discovery_robust_final_tested_probability,confirmation_robust_final_tested_probability,paired_robust_final_tested_probability,partition_final_probability_gap,maximum_simulator_probability_spread_across_partitions,discovery_selected_support_efficiency_min,confirmation_selected_support_efficiency_min,paired_selected_support_efficiency_min,discovery_selected_mean_effective_clusters_min,confirmation_selected_mean_effective_clusters_min,paired_selected_mean_effective_clusters_min,discovery_design_class,confirmation_design_class,material_nonmonotone_any_partition,paired_design_class,paired_design_action,sealed_candidate_eligible,partition_separation_required,pooled_evaluation_prohibited,posthoc_object_migration_prohibited,confirmation_protocol_sealed_before_confirmation_access,simulator_stress_test_not_observed_evidence,extrapolation_beyond_tested_k_prohibited,target_global_rank,address_target_rank,sealed_candidate_status,candidate_interpretation
PP-19435a331c22b9fc81f57849,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.25,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-1e9955d5b9bd9dab9d4b36ec,PD-b30cc5835d72528bc05beeda,5.0,5.0,10.0,5.0,0.0,0.621,0.594,0.594,0.999,0.999,0.999,0.0,0.02499999999999991,0.7498,0.7426,0.7426,3.749,3.713,3.713,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,1,1,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-3a32cba2577d20eb727d1d07,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.0,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-d5f0eb3774c2aaead041becd,PD-f75457827f6c0806dbec9be9,5.0,5.0,10.0,5.0,0.0,0.591,0.62,0.591,1.0,1.0,1.0,0.0,0.02400000000000002,0.7444,0.7574,0.7444,3.722,3.787,3.722,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,2,2,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-d48c2e20b1fa2bcc7a7594c5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.5,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-05ec750e39d5d8f77807bf2d,PD-08a170ce5aec1c1366d88809,5.0,5.0,10.0,5.0,0.0,0.577,0.545,0.545,0.977,0.979,0.977,0.0020000000000000018,0.03200000000000003,0.7478,0.7432000000000001,0.7432000000000001,3.739,3.716,3.716,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,3,3,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-2839fbfcdb146183f5f176be,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.25,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-8678c5dd32d16168cbd424ea,PD-23b4ddc67744841421929566,5.0,5.0,10.0,5.0,0.0,0.552,0.544,0.544,0.999,0.996,0.996,0.0030000000000000027,0.028999999999999915,0.7438,0.7512,0.7438,3.719,3.756,3.719,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,4,4,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-aa51c7a661e9d5cf92d9586c,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.0,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-7fe4485edd96e6e93fcf343d,PD-5c8e4599552d2a6b4fc03cd4,5.0,5.0,10.0,5.0,0.0,0.553,0.528,0.528,0.999,0.998,0.998,0.0010000000000000009,0.03699999999999992,0.7442,0.7434000000000001,0.7434000000000001,3.721,3.717,3.717,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,5,5,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-59f9069becd2b22c9feb34b0,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.5,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-9ded81856428a80d911c0008,PD-9ac0f43683ad078ac6af4c16,5.0,5.0,10.0,5.0,0.0,0.521,0.522,0.521,0.968,0.967,0.967,0.0010000000000000009,0.04199999999999998,0.7454,0.754,0.7454,3.727,3.77,3.727,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,6,6,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-074c3928f9efd72e03e7620c,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.0,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-417346d1ff8b14982fcaf6ac,PD-333070931039b32831261be8,6.0,6.0,12.0,6.0,0.0,0.687,0.646,0.646,0.997,0.993,0.993,0.0040000000000000036,0.02300000000000002,0.7493333333333334,0.7508333333333334,0.7493333333333334,4.496,4.505,4.496,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,7,7,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-8e88953379b7f656e03b3e2d,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.25,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-2ee66a3f5031579429203e19,PD-c673fa741cc62c435da1c6e8,6.0,6.0,12.0,6.0,0.0,0.694,0.643,0.643,0.996,0.993,0.993,0.0030000000000000027,0.035,0.7426666666666667,0.7456666666666667,0.7426666666666667,4.456,4.474,4.456,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,8,8,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-0e91c8dc827c8cf662b093b2,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.5,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-c813cdef6f13e06f2aff84f4,PD-138c73d9321b35105797e2cc,6.0,6.0,12.0,6.0,0.0,0.639,0.569,0.569,0.943,0.917,0.917,0.025999999999999912,0.039000000000000035,0.7451666666666666,0.7461666666666668,0.7451666666666666,4.471,4.477,4.471,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,9,9,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
PP-6541f319c6d4136649eca24f,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.75,0.0,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-5f287cdfe71a20f4003f252a,PD-6a76b99eba473077bbc96dfd,6.0,6.0,12.0,6.0,0.0,0.555,0.531,0.531,0.984,0.986,0.984,0.0020000000000000018,0.01899999999999996,0.7486666666666667,0.7435,0.7435,4.492,4.461,4.461,robust_target_reached,robust_target_reached,False,paired_robust_candidate_within_tested_envelope,seal_for_targeted_design_evaluation,True,True,True,True,True,True,True,10,10,sealed_scenario_conditioned_candidate_for_targeted_evaluation,prospective design candidate only; not observed evidence and not a guarantee of passage
